"idplant","idcrude"
"P00206","S00246"
"P00206","S00247"
"P00206","S00248"
"P00207","S00249"
"P00207","S00250"
"P00207","S00251"
"P00207","T00032"
"P00207","T00043"
"P00208","S00252"
"P00209","S00253"
"P00209","S00254"
"P00209","S00255"
"P00209","S00256"
"P00210","S00257"
"P00211","S00258"
"P00212","S00259"
"P00213","T00032"
"P00214","S00260"
"P00214","S00261"
"P00214","T00119"
"P00214","T00128"
"P00215","S00262"
"P00215","S00263"
"P00215","S00264"
"P00216","T00119"
"P00216","T00128"
"P00217","S00265"
"P00217","S00266"
"P00217","S00267"
"P00218","S00268"
"P00219","S00269"
"P00220","S00270"
"P00220","T00006"
"P00221","T00006"
"P00222","T00006"
"P00223","S00271"
"P00224","S00272"
"P00225","S00273"
"P00226","S00274"
"P00227","S00275"
"P00228","S00276"
"P00228","T00087"
"P00229","T00103"
"P00230","S00277"
"P00230","S00278"
"P00230","S00279"
"P00231","S00280"
"P00232","S00281"
"P00233","S00282"
"P00233","T00196"
"P00234","S00283"
"P00235","S00284"
"P00236","S00285"
"P00237","S00286"
"P00238","S00287"
"P00238","S00288"
"P00238","S00289"
"P00239","S00290"
"P00240","S00291"
"P00241","S00292"
"P00242","S00293"
"P00243","S00294"
"P00243","T00020"
"P00244","T00020"
"P00245","T00020"
"P00246","S00295"
"P00247","S00296"
"P00247","S00297"
"P00248","T00070"
"P00248","T00209"
"P00249","T00014"
"P00250","S00298"
"P00250","S00299"
"P00251","S00300"
"P00251","S00301"
"P00252","S00302"
"P00253","S00303"
"P00254","T00068"
"P00254","T00262"
"P00255","S00304"
"P00255","T00068"
"P00255","T00262"
"P00256","S00305"
"P00257","S00306"
"P00258","S00307"
"P00259","S00308"
"P00260","T00106"
"P00261","S00309"
"P00262","S00310"
"P00263","S00311"
"P00263","S00312"
"P00264","S00313"
"P00265","S00314"
"P00265","S00315"
"P00266","S00316"
"P00267","S00317"
"P00268","S00318"
"P00269","S00319"
"P00270","S00320"
"P00270","T00008"
"P00270","T00250"
"P00271","S00321"
"P00272","S00322"
"P00273","S00323"
"P00274","S00324"
"P00275","S00325"
"P00276","S00326"
"P00276","T00027"
"P00277","S00327"
"P00278","S00328"
"P00279","S00329"
"P00280","S00330"
"P00280","S00331"
"P00280","S00332"
"P00281","S00333"
"P00281","S00334"
"P00281","S00335"
"P00282","S00336"
"P00282","S00337"
"P00283","S00338"
"P00284","S00339"
"P00285","S00340"
"P00285","S00341"
"P00285","S00342"
"P00285","S00343"
"P00285","S00344"
"P00285","T00055"
"P00285","T00204"
"P00286","S00345"
"P00286","S00346"
"P00287","S00347"
"P00288","S00348"
"P00289","S00349"
"P00290","S00351"
"P00291","S00352"
"P00292","S00353"
"P00293","S00354"
"P00294","T00022"
"P00294","T00248"
"P00295","S00355"
"P00295","S00356"
"P00295","S00357"
"P00295","S00358"
"P00296","T00073"
"P00296","T00211"
"P00297","S00359"
"P00297","S00360"
"P00298","S00361"
"P00299","T00082"
"P00300","S00362"
"P00301","T00163"
"P00301","T00230"
"P00302","S00363"
"P00303","S00364"
"P00303","S00365"
"P00303","S00366"
"P00304","S00367"
"P00304","S00368"
"P00305","S00369"
"P00305","S00370"
"P00306","S00371"
"P00306","S00372"
"P00307","S00374"
"P00308","S00375"
"P00308","S00376"
"P00309","S00377"
"P00309","S00378"
"P00309","S00379"
"P00309","S00380"
"P00310","S00381"
"P00311","S00382"
"P00312","S00383"
"P00313","S00384"
"P00314","S00385"
"P00315","S00386"
"P00316","T00171"
"P00317","T00171"
"P00318","S00387"
"P00319","S00388"
"P00320","S00389"
"P00321","S00390"
"P00322","T00001"
"P00323","S00391"
"P00323","T00159"
"P00324","S00392"
"P00325","S00393"
"P00326","S00394"
"P00327","S00395"
"P00327","S00396"
"P00327","S00397"
"P00328","S00398"
"P00329","S00399"
"P00330","S00400"
"P00330","S00401"
"P00331","S00402"
"P00331","S00403"
"P00331","T00136"
"P00332","S00404"
"P00332","S00405"
"P00332","S00406"
"P00332","S00407"
"P00333","S00408"
"P00333","T00123"
"P00333","T00124"
"P00334","S00409"
"P00334","S00410"
"P00334","S00411"
"P00335","S00412"
"P00336","S00413"
"P00337","S00414"
"P00337","S00415"
"P00338","S00416"
"P00339","T00040"
"P00340","S00417"
"P00341","S00418"
"P00342","T00181"
"P00343","S00419"
"P00344","S00420"
"P00345","S00421"
"P00346","S00422"
"P00347","S00423"
"P00348","S00424"
"P00348","S00425"
"P00348","S00426"
"P00349","S00427"
"P00350","S00428"
"P00351","S00429"
"P00351","S00430"
"P00351","S00431"
"P00351","T00007"
"P00352","S00432"
"P00352","T00185"
"P00353","T00185"
"P00354","T00182"
"P00355","S00433"
"P00356","S00434"
"P00357","S00435"
"P00358","T00146"
"P00359","S00436"
"P00359","S00437"
"P00360","S00438"
"P00360","S00439"
"P00361","T00050"
"P00361","T00197"
"P00361","T00237"
"P00362","S00440"
"P00363","S00441"
"P00364","S00442"
"P00365","S00443"
"P00365","S00444"
"P00365","S00445"
"P00366","S00446"
"P00366","S00447"
"P00367","S00448"
"P00367","S00449"
"P00367","T00069"
"P00367","T00227"
"P00367","T00229"
"P00368","S00450"
"P00369","S00451"
"P00369","S00452"
"P00369","T00130"
"P00370","S00453"
"P00370","S00454"
"P00371","S00455"
"P00372","S00456"
"P00373","S00457"
"P00374","S00458"
"P00375","T00187"
"P00376","T00187"
"P00377","S00459"
"P00378","S00460"
"P00378","T00187"
"P00379","T00183"
"P00380","S00461"
"P00380","T00183"
"P00381","T00187"
"P00382","T00183"
"P00383","S00462"
"P00383","S00463"
"P00384","S00464"
"P00385","S00465"
"P00386","S00466"
"P00387","S00467"
"P00387","S00468"
"P00387","S00469"
"P00387","S00470"
"P00387","S00471"
"P00388","S00472"
"P00388","T00039"
"P00388","T00084"
"P00388","T00200"
"P00389","S00474"
"P00390","S00475"
"P00391","S00476"
"P00391","S00477"
"P00392","S00478"
"P00393","S00480"
"P00394","S00481"
"P00395","S00482"
"P00396","S00483"
"P00396","S00484"
"P00396","S00485"
"P00397","S00489"
"P00398","S00490"
"P00399","S00491"
"P00400","S00492"
"P00400","S00493"
"P00400","S00494"
"P00400","S00495"
"P00400","S00496"
"P00401","S00497"
"P00401","S00498"
"P00402","S00499"
"P00402","S00500"
"P00402","S00501"
"P00403","T00102"
"P00404","S00503"
"P00404","S00504"
"P00405","S00505"
"P00406","S00506"
"P00407","S00507"
"P00408","S00508"
"P00408","S00509"
"P00409","S00510"
"P00410","S00511"
"P00411","S00512"
"P00411","S00513"
"P00412","S00515"
"P00413","S00516"
"P00414","S00517"
"P00414","S00518"
"P00415","S00519"
"P00416","S00520"
"P00417","S00521"
"P00418","S00522"
"P00419","S00523"
"P00419","T00147"
"P00420","T00089"
"P00420","T00224"
"P00421","S00524"
"P00422","S00526"
"P00423","S00527"
"P00424","S00529"
"P00425","S00530"
"P00426","S00531"
"P00427","S00532"
"P00428","S00533"
"P00429","S00534"
"P00429","S00535"
"P00429","S00536"
"P00429","S00537"
"P00430","S00538"
"P00431","S00540"
"P00431","S00541"
"P00431","S00542"
"P00432","S00543"
"P00433","S00545"
"P00434","S00546"
"P00435","S00547"
"P00435","S00548"
"P00435","S00549"
"P00435","S00550"
"P00435","S00551"
"P00436","S00552"
"P00436","S00553"
"P00437","S00554"
"P00438","S00555"
"P00438","T00134"
"P00438","T00246"
"P00438","T00247"
"P00439","S00556"
"P00440","S00557"
"P00441","S00558"
"P00442","S00559"
"P00443","S00560"
"P00444","S00561"
"P00444","S00562"
"P00445","S00563"
"P00446","S00564"
"P00447","S00565"
"P00448","S00568"
"P00449","S00569"
"P00450","S00570"
"P00451","S00571"
"P00452","S00572"
"P00453","S00573"
"P00454","S00574"
"P00455","S00575"
"P00456","S00576"
"P00457","S00577"
"P00458","S00578"
"P00459","S00579"
"P00460","T00177"
"P00461","S00581"
"P00462","S00582"
"P00463","S00583"
"P00464","S00584"
"P00465","S00585"
"P00466","S00586"
"P00466","S00587"
"P00467","S00588"
"P00468","S00589"
"P00468","S00590"
"P00468","S00591"
"P00469","S00592"
"P00469","S00593"
"P00470","S00594"
"P00470","T00191"
"P00470","T00240"
"P00471","S00595"
"P00472","S00596"
"P00473","S00597"
"P00474","S00598"
"P00475","S00599"
"P00475","T00011"
"P00476","S00600"
"P00477","S00601"
"P00478","S00602"
"P00478","T00078"
"P00479","S00603"
"P00480","S00604"
"P00480","S00605"
"P00480","S00606"
"P00480","S00607"
"P00481","S00608"
"P00481","S00609"
"P00482","S00610"
"P00482","T00047"
"P00482","T00144"
"P00483","S00611"
"P00484","S00612"
"P00484","S00613"
"P00485","S00615"
"P00485","S00616"
"P00485","T00077"
"P00486","S00617"
"P00486","T00077"
"P00487","S00618"
"P00488","S00619"
"P00489","S00620"
"P00490","S00621"
"P00491","S00622"
"P00492","T00096"
"P00493","T00096"
"P00494","T00096"
"P00495","T00056"
"P00496","S00623"
"P00496","T00056"
"P00497","T00096"
"P00498","T00096"
"P00499","S00625"
"P00500","S00626"
"P00501","S00627"
"P00502","S00628"
"P00502","S00629"
"P00503","S00631"
"P00503","S00632"
"P00504","S00633"
"P00505","S00634"
"P00505","S00635"
"P00505","S00636"
"P00505","S00637"
"P00506","S00638"
"P00506","S00639"
"P00507","S00640"
"P00508","S00641"
"P00508","S00642"
"P00508","S00643"
"P00509","S00644"
"P00509","S00645"
"P00509","S00646"
"P00510","S00647"
"P00511","S00648"
"P00512","S00649"
"P00513","S00650"
"P00514","S00651"
"P00514","S00652"
"P00514","S00653"
"P00514","T00156"
"P00514","T00193"
"P00515","S00654"
"P00516","S00655"
"P00517","S00656"
"P00517","S00657"
"P00517","S00658"
"P00517","S00659"
"P00518","S00660"
"P00518","S00661"
"P00518","S00662"
"P00519","S00663"
"P00520","S00664"
"P00520","S00665"
"P00521","S00666"
"P00522","S00668"
"P00523","S00669"
"P00523","S00670"
"P00524","S00671"
"P00525","S00672"
"P00526","S00673"
"P00526","S00674"
"P00526","S00675"
"P00526","S00676"
"P00527","S00677"
"P00528","S00678"
"P00528","S00679"
"P00528","S00680"
"P00529","S00681"
"P00530","S00682"
"P00530","S00683"
"P00530","S00684"
"P00530","T00111"
"P00530","T00216"
"P00531","S00685"
"P00532","S00686"
"P00533","S00687"
"P00534","S00688"
"P00535","S00689"
"P00535","S00690"
"P00536","T00180"
"P00537","S00691"
"P00538","S00692"
"P00538","S00693"
