"idrefformula","idherbsmed","idcrude","composition","unit"
"F00814","J00814","S00679","",""
"F00814","J00814","S01128","",""
"F00815","J00815","S00128","",""
"F00816","J00816","S00774","",""
"F00817","J00817","S00098","",""
"F00817","J00817","S00151","",""
"F00817","J00817","S00273","",""
"F00817","J00817","S00318","",""
"F00817","J00817","S00562","",""
"F00817","J00817","S00808","",""
"F00818","J00818","S00066","",""
"F00818","J00818","S00179","",""
"F00818","J00818","S00273","",""
"F00818","J00818","S00318","",""
"F00818","J00818","S00562","",""
"F00818","J00818","S01128","",""
"F00819","J00819","S00562","",""
"F00819","J00819","S00573","",""
"F00819","J00819","S00697","",""
"F00819","J00819","S00818","",""
"F00819","J00819","S01128","",""
