"idrefformula","idherbsmed","idcrude","composition","unit"
"F00964","J00964","S00699","",""
"F00964","J00964","S01110","",""
"F00965","J00965","S00296","",""
"F00965","J00965","S00318","",""
"F00965","J00965","S00562","",""
"F00965","J00965","S01044","",""
"F00966","J00966","S00051","",""
"F00966","J00966","S00251","",""
"F00966","J00966","S00705","",""
"F00966","J00966","S00888","",""
"F00967","J00967","S00284","",""
"F00967","J00967","S00470","",""
"F00967","J00967","S00812","",""
"F00967","J00967","S01044","",""
"F00968","J00968","S00043","",""
"F00968","J00968","S00419","",""
"F00968","J00968","S00470","",""
"F00968","J00968","S00821","",""
"F00969","J00969","S00380","",""
"F00969","J00969","S00749","",""
"F00969","J00969","S00893","",""
"F00969","J00969","S00978","",""
"F00970","J00970","S00058","",""
"F00970","J00970","S00284","",""
"F00970","J00970","S00419","",""
"F00970","J00970","S00705","",""
"F00970","J00970","S00821","",""
"F00971","J00971","S00058","",""
"F00971","J00971","S00201","",""
"F00971","J00971","S00404","",""
"F00971","J00971","S00756","",""
"F00972","J00972","S00201","",""
"F00972","J00972","S00429","",""
"F00972","J00972","S00470","",""
"F00972","J00972","S00697","",""
"F00973","J00973","S00429","",""
"F00973","J00973","S00749","",""
"F00973","J00973","S00821","",""
"F00973","J00973","S01076","",""
"F00974","J00974","S00151","",""
"F00974","J00974","S00296","",""
"F00974","J00974","S00749","",""
"F00974","J00974","S01044","",""
"F00975","J00975","S00051","",""
"F00975","J00975","S00228","",""
"F00975","J00975","S00470","",""
"F00975","J00975","S00684","",""
"F00975","J00975","S00899","",""
"F00976","J00976","S00238","",""
"F00976","J00976","S00740","",""
"F00976","J00976","S00812","",""
"F00976","J00976","S00821","",""
"F00977","J00977","S00470","",""
"F00977","J00977","S00560","",""
"F00977","J00977","S00749","",""
"F00977","J00977","S00888","",""
"F00978","J00978","S00296","",""
"F00978","J00978","S00470","",""
"F00978","J00978","S00756","",""
"F00978","J00978","S00968","",""
"F00979","J00979","S00470","",""
"F00979","J00979","S00562","",""
"F00979","J00979","S00729","",""
"F00979","J00979","S00812","",""
"F00980","J00980","S00051","",""
"F00980","J00980","S00238","",""
"F00980","J00980","S00470","",""
"F00980","J00980","S00510","",""
"F00981","J00981","S00051","",""
"F00981","J00981","S00325","",""
"F00981","J00981","S00470","",""
"F00981","J00981","S00724","",""
"F00982","J00982","S00051","",""
"F00982","J00982","S00228","",""
"F00982","J00982","S00470","",""
"F00982","J00982","S00899","",""
"F00983","J00983","S00042","",""
"F00983","J00983","S00560","",""
"F00983","J00983","S00749","",""
"F00983","J00983","S00818","",""
"F00984","J00984","S00130","",""
"F00984","J00984","S00168","",""
"F00984","J00984","S00664","",""
"F00984","J00984","S00914","",""
"F00985","J00985","S00284","",""
"F00985","J00985","S00470","",""
"F00985","J00985","S00812","",""
"F00985","J00985","S01044","",""
"F00986","J00986","S00058","",""
"F00986","J00986","S00375","",""
"F00986","J00986","S00470","",""
"F00986","J00986","S00821","",""
"F00987","J00987","S00168","",""
"F00987","J00987","S00318","",""
"F00987","J00987","S00483","",""
"F00987","J00987","S00749","",""
"F00988","J00988","S00051","",""
"F00988","J00988","S00058","",""
"F00988","J00988","S00151","",""
"F00988","J00988","S00249","",""
"F00988","J00988","S00317","",""
"F00988","J00988","S00318","",""
"F00988","J00988","S00319","",""
"F00988","J00988","S00457","",""
"F00988","J00988","S00470","",""
"F00988","J00988","S00603","",""
"F00988","J00988","S00705","",""
"F00988","J00988","S00888","",""
"F00988","J00988","S01089","",""
"F00989","J00989","S00228","",""
"F00989","J00989","S00238","",""
"F00989","J00989","S00470","",""
"F00989","J00989","S00812","",""
"F00990","J00990","S00228","",""
"F00990","J00990","S00404","",""
"F00990","J00990","S00705","",""
"F00990","J00990","S01128","",""
"F00991","J00991","S00318","",""
"F00991","J00991","S00562","",""
"F00991","J00991","S00749","",""
"F00991","J00991","S00888","",""
"F00991","J00991","S01089","",""
"F00992","J00992","S00216","",""
"F00992","J00992","S00510","",""
"F00992","J00992","S00899","",""
"F00992","J00992","S01034","",""
"F00993","J00993","S00296","",""
"F00993","J00993","S00325","",""
"F00993","J00993","S00562","",""
"F00993","J00993","S00679","",""
"F00993","J00993","S00756","",""
"F00993","J00993","S01128","",""
"F00994","J00994","S00043","",""
"F00994","J00994","S00296","",""
"F00994","J00994","S00693","",""
"F00994","J00994","S00821","",""
"F00994","J00994","S01007","",""
"F00994","J00994","S01128","",""
"F00995","J00995","S00043","",""
"F00995","J00995","S00375","",""
"F00995","J00995","S00679","",""
"F00995","J00995","S00724","",""
